,지수
1418,99.481
1419,99.481
1420,99.481
1421,99.481
1422,99.481
1423,99.481
1424,99.481
1425,99.481
1426,99.481
1427,99.481
1428,99.481
1429,99.481
1430,99.719
1431,99.719
1432,99.719
1433,99.719
1434,99.719
1435,99.719
1436,99.719
1437,99.719
1438,99.719
1439,99.719
1440,99.719
1441,99.719
1442,99.719
1443,99.719
1444,99.719
1445,99.719
1446,99.719
1447,99.719
1448,99.719
1449,99.719
1450,99.719
1451,99.719
1452,99.719
1453,99.719
1454,99.719
1455,99.719
1456,99.719
1457,99.719
1458,99.719
1459,99.719
1460,99.719
1461,100.09
1462,100.09
1463,100.09
1464,100.09
1465,100.09
1466,100.09
1467,100.09
1468,100.09
1469,100.09
1470,100.09
1471,100.09
1472,100.09
1473,100.09
1474,100.09
1475,100.09
1476,100.09
1477,100.09
1478,100.09
1479,100.09
1480,100.09
1481,100.09
1482,100.09
1483,100.09
1484,100.09
1485,100.09
1486,100.09
1487,100.09
1488,100.09
1489,100.09
1490,100.09
1491,100.09
1492,100.16
1493,100.16
1494,100.16
1495,100.16
1496,100.16
1497,100.16
1498,100.16
1499,100.16
1500,100.16
1501,100.16
1502,100.16
1503,100.16
1504,100.16
1505,100.16
1506,100.16
1507,100.16
1508,100.16
1509,100.16
1510,100.16
1511,100.16
1512,100.16
1513,100.16
1514,100.16
1515,100.16
1516,100.16
1517,100.16
1518,100.16
1519,100.16
1520,100.16
1521,99.94
1522,99.94
1523,99.94
1524,99.94
1525,99.94
1526,99.94
1527,99.94
1528,99.94
1529,99.94
1530,99.94
1531,99.94
1532,99.94
1533,99.94
1534,99.94
1535,99.94
1536,99.94
1537,99.94
1538,99.94
1539,99.94
1540,99.94
1541,99.94
1542,99.94
1543,99.94
1544,99.94
1545,99.94
1546,99.94
1547,99.94
1548,99.94
1549,99.94
1550,99.94
1551,99.94
1552,99.5
1553,99.5
1554,99.5
1555,99.5
1556,99.5
1557,99.5
1558,99.5
1559,99.5
1560,99.5
1561,99.5
1562,99.5
1563,99.5
1564,99.5
1565,99.5
1566,99.5
1567,99.5
1568,99.5
1569,99.5
1570,99.5
1571,99.5
1572,99.5
1573,99.5
1574,99.5
1575,99.5
1576,99.5
1577,99.5
1578,99.5
1579,99.5
1580,99.5
1581,99.5
1582,99.44
1583,99.44
1584,99.44
1585,99.44
1586,99.44
1587,99.44
1588,99.44
1589,99.44
1590,99.44
1591,99.44
1592,99.44
1593,99.44
1594,99.44
1595,99.44
1596,99.44
1597,99.44
1598,99.44
1599,99.44
1600,99.44
1601,99.44
1602,99.44
1603,99.44
1604,99.44
1605,99.44
1606,99.44
1607,99.44
1608,99.44
1609,99.44
1610,99.44
1611,99.44
1612,99.44
1613,99.71
1614,99.71
1615,99.71
1616,99.71
1617,99.71
1618,99.71
1619,99.71
1620,99.71
1621,99.71
1622,99.71
1623,99.71
1624,99.71
1625,99.71
1626,99.71
1627,99.71
1628,99.71
1629,99.71
1630,99.71
1631,99.71
1632,99.71
