구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2017년04월13일,1819.05,1486.69,1276.91,853.40
2017년04월14일,1819.72,1486.73,1276.95,853.24
2017년04월15일,1820.81,1486.78,1276.90,852.95
2017년04월16일,1820.32,1486.80,1276.70,852.44
2017년04월17일,1819.20,1486.89,1277.00,852.33
2017년04월18일,1821.11,1487.60,1277.89,852.20
2017년04월19일,1821.92,1487.86,1278.28,851.61
2017년04월20일,1822.82,1487.91,1278.32,851.87
2017년04월21일,1823.41,1487.90,1278.26,851.69
2017년04월22일,1823.23,1487.73,1278.09,851.72
2017년04월23일,1822.99,1487.70,1277.82,851.81
2017년04월24일,1823.39,1487.78,1278.24,851.74
2017년04월25일,1823.03,1487.54,1277.99,851.67
2017년04월26일,1823.11,1487.35,1277.77,851.61
2017년04월27일,1822.88,1487.30,1277.64,851.52
2017년04월28일,1822.14,1487.09,1277.54,851.19
2017년04월29일,1822.41,1486.76,1277.07,851.02
2017년04월30일,1822.20,1486.67,1276.67,851.06
2017년05월01일,1821.37,1486.55,1276.74,850.97
2017년05월02일,1819.08,1486.12,1276.54,850.36
2017년05월03일,1818.38,1485.78,1276.11,849.85
2017년05월04일,1817.24,1485.76,1276.09,849.72
2017년05월05일,1817.08,1485.50,1275.74,849.34
2017년05월06일,1817.27,1485.32,1275.60,849.02
2017년05월07일,1817.61,1485.29,1275.43,848.52
2017년05월08일,1817.61,1485.13,1275.51,848.47
2017년05월09일,1815.69,1484.34,1274.56,848.01
2017년05월10일,1814.32,1483.94,1274.26,847.70
2017년05월11일,1813.29,1483.26,1273.58,847.38
2017년05월12일,1811.72,1482.50,1272.82,847.69
2017년05월13일,1811.66,1481.94,1272.20,847.30
2017년05월14일,1811.99,1481.67,1271.68,847.04
2017년05월15일,1812.04,1481.35,1271.72,846.76
2017년05월16일,1811.47,1480.75,1270.92,847.13
2017년05월17일,1811.38,1480.29,1270.49,847.00
2017년05월18일,1811.56,1479.88,1270.04,846.23
2017년05월19일,1810.82,1479.43,1269.61,845.91
2017년05월20일,1810.92,1478.91,1269.05,845.72
2017년05월21일,1811.35,1478.77,1268.73,845.55
2017년05월22일,1811.29,1478.60,1268.91,845.57
2017년05월23일,1812.00,1478.36,1268.54,845.46
2017년05월24일,1811.46,1478.11,1268.22,845.50
2017년05월25일,1811.65,1477.75,1267.95,845.21
2017년05월26일,1812.30,1477.55,1267.65,844.69
