,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1330,2019년 8월 23일,25.3,30.7,20.7,7.4,0.0,10.0
1331,2019년 8월 24일,23.0,28.2,18.3,8.4,0.0,9.899999999999999
1332,2019년 8월 25일,23.4,30.8,17.9,3.4,0.0,12.900000000000002
1333,2019년 8월 26일,24.3,31.6,17.5,3.5,0.0,14.100000000000001
1334,2019년 8월 27일,22.5,23.9,20.7,9.1,17.0,3.1999999999999993
1335,2019년 8월 28일,23.2,27.2,21.1,8.4,3.5,6.099999999999998
1336,2019년 8월 29일,22.6,25.4,20.0,9.4,0.2,5.399999999999999
1337,2019년 8월 30일,23.3,30.0,17.7,2.0,0.0,12.3
1338,2019년 8월 31일,22.8,29.4,15.9,4.6,0.0,13.499999999999998
1339,2019년 9월 1일,21.7,27.1,17.7,9.3,1.5,9.400000000000002
1340,2019년 9월 2일,20.7,22.7,19.7,8.8,5.5,3.0
1341,2019년 9월 3일,21.9,25.0,19.9,10.0,33.0,5.100000000000001
1342,2019년 9월 4일,24.1,27.4,21.9,9.8,1.0,5.5
1343,2019년 9월 5일,25.6,32.1,21.7,8.0,2.0,10.400000000000002
1344,2019년 9월 6일,26.4,30.0,22.4,9.3,0.0,7.600000000000001
1345,2019년 9월 7일,26.8,30.1,24.0,7.8,3.5,6.100000000000001
1346,2019년 9월 8일,25.6,31.7,21.4,7.9,0.0,10.3
1347,2019년 9월 9일,26.5,31.8,23.5,7.9,0.0,8.3
1348,2019년 9월 10일,26.8,32.0,23.1,8.5,0.0,8.899999999999999
1349,2019년 9월 11일,24.8,30.3,22.2,7.8,0.0,8.100000000000001
1350,2019년 9월 12일,20.8,23.2,18.7,8.4,4.5,4.5
1351,2019년 9월 13일,20.5,25.9,16.0,4.0,0.0,9.899999999999999
1352,2019년 9월 14일,22.2,29.4,13.6,5.5,0.0,15.799999999999999
1353,2019년 9월 15일,23.0,27.8,17.5,7.0,0.0,10.3
1354,2019년 9월 16일,20.7,27.6,15.6,3.4,0.0,12.000000000000002
1355,2019년 9월 17일,19.8,26.9,13.4,3.0,0.0,13.499999999999998
